MEETING_ID,MEETING_TYPE,RECORD_TYPE,MEETING_DATE,MEETING_TIME,MEETING_LOCATION
1143,LRT Governance Board Committee,Minutes,10/23/2013 12:00:00 AM,1:30 PM,Heritage Room
1051,City Council,Minutes,10/29/2013 12:00:00 AM,2:30 PM,Council Chamber
1145,Community Services Committee,Minutes,10/30/2013 12:00:00 AM,8:45 AM,River Valley Room
1146,Executive Committee,Minutes,10/30/2013 12:00:00 AM,8:45 AM,Council Chamber
1147,Transportation Committee,Minutes,10/30/2013 12:00:00 AM,8:45 AM,Councillors' Boardroom
1150,City Council,Minutes,10/30/2013 12:00:00 AM,9:30 am,Heritage Room
1160,City Council Public Hearing,Past,10/31/2013 12:00:00 AM,1:30 pm,Council Chamber
1124,City Council Public Hearing,Minutes,11/04/2013 12:00:00 AM,1:30 pm,Council Chamber
1140,Utility Committee,Minutes,11/05/2013 12:00:00 AM,1:30 PM,River Valley Room
1117,City Council,Minutes,11/06/2013 12:00:00 AM,9:30 am,Council Chamber
1156,City Council,Minutes,11/07/2013 12:00:00 AM,9:30 am,Heritage Room
1111,CM and CA Performance Review Committee,Minutes,11/08/2013 12:00:00 AM,1:30 PM,Office of the City Clerk Boardroom
1161,Community Standards and Licence Appeal Committee,Minutes,11/08/2013 12:00:00 AM,9:30 AM,Churchill Building
1157,City Council,Minutes,11/12/2013 12:00:00 AM,9:30 am,Heritage Room
1158,City Council,Minutes,11/13/2013 12:00:00 AM,9:30 am,Heritage Room
1159,City Council,Minutes,11/14/2013 12:00:00 AM,9:30 am,Heritage Room
1144,Audit Committee,Minutes,11/15/2013 12:00:00 AM,1:30 PM,River Valley Room
1121,City Council Public Hearing,Minutes,11/18/2013 12:00:00 AM,1:30 pm,Council Chamber
1149,Council Services Committee,Minutes,11/18/2013 12:00:00 AM,9:30 am,Councillors' Boardroom
1142,City Council,Minutes,11/19/2013 12:00:00 AM,9:30 AM,Council Chamber
1259,Audit Selection Committee,Minutes,11/25/2013 12:00:00 AM,3:30 PM,City Hall
1153,City Council,Minutes,11/25/2013 12:00:00 AM,9:30 am,Council Chamber
1246,CM and CA Performance Review Committee,Minutes,11/26/2013 12:00:00 AM,12:00 PM,Office of the City Clerk Boardroom
1148,LRT Governance Board Committee,Minutes,11/26/2013 12:00:00 AM,9:30 am,River Valley Room
1132,City Council Budget,Minutes,12/02/2013 12:00:00 AM,9:30 am,Council Chamber
1122,City Council Public Hearing,Minutes,12/09/2013 12:00:00 AM,1:30 pm,Council Chamber
1154,City Council,Minutes,12/11/2013 12:00:00 AM,9:30 am,Council Chamber
1321,Special City Council,Minutes,12/17/2013 12:00:00 AM,10:30 AM,Council Chamber
1323,Special City Council,Minutes,01/20/2014 12:00:00 AM,12:00 PM,Councillors Boardroom
1288,Audit Selection Committee,Past,01/20/2014 12:00:00 AM,3:30 PM,Councillor's Boardroom
1162,Community Services Committee,Minutes,01/20/2014 12:00:00 AM,9:30 am,River Valley Room
1320,Special City Council,Minutes,01/21/2014 12:00:00 AM,1:30 PM,Heritage Room
1164,Transportation Committee,Minutes,01/21/2014 12:00:00 AM,9:30 am,River Valley Room
1163,Executive Committee,Minutes,01/22/2014 12:00:00 AM,9:30 AM,River Valley Room
1165,Community Standards and Licence Appeal Committee,Minutes,01/23/2014 12:00:00 AM,9:30 AM,Churchill Building
1167,City Council Public Hearing,Minutes,01/27/2014 12:00:00 AM,1:30 pm,Council Chamber
1168,City Council,Minutes,01/28/2014 12:00:00 AM,9:30 am,Heritage Room
1169,City Council,Minutes,01/29/2014 12:00:00 AM,9:30 am,Council Chamber
1170,Utility Committee,Past,01/30/2014 12:00:00 AM,9:30 AM,River Valley Room
1171,Community Services Committee,Minutes,02/03/2014 12:00:00 AM,9:30 am,River Valley Room
1136,LRT Governance Board Committee,Minutes,02/04/2014 12:00:00 AM,10:30 AM,River Valley Room
1172,Executive Committee,Minutes,02/04/2014 12:00:00 AM,9:30 AM,Council Chamber
1173,Transportation Committee,Minutes,02/05/2014 12:00:00 AM,9:30 am,River Valley Room
1174,Audit Committee,Minutes,02/06/2014 12:00:00 AM,9:30 am,River Valley Room
1178,City Council Public Hearing,Minutes,02/10/2014 12:00:00 AM,1:30 pm,Council Chamber
1177,Council Services Committee,Minutes,02/10/2014 12:00:00 AM,9:30 am,Councillors' Boardroom
1176,City Council,Minutes,02/11/2014 12:00:00 AM,9:30 am,Council Chamber
