date,avg_hourly_temperature,min_windchill,avg_dew_point,max_wind_gust,wind_gust_dir_10s,avg_health_index,precipitation,sunlight
2017-11-16,,moderate,,,,,yes,8
2017-11-15,,moderate,,strong_winds,SE,,,8
2017-11-14,,moderate,,windy,NNE,,yes,8
2017-11-13,,moderate,,windy_direction,E,,yes,8
2017-11-12,,moderate,,,,,,8
2017-11-11,,moderate,,,,moderate,,8
2017-11-10,,moderate,,,,,,8
2017-11-09,,moderate,,strong_winds,S,,,8
2017-11-08,,moderate,,,,,yes,9
2017-11-07,,moderate,,,,,yes,9
2017-11-06,,moderate,,windy_direction,S,,yes,9
2017-11-05,,moderate,,,,,,9
2017-11-04,,moderate,,,,,yes,9
2017-11-03,,moderate,,,,,yes,9
2017-11-02,,moderate,,,,,yes,9
2017-11-01,,moderate,,windy_direction,NNE,,yes,9
2017-10-31,,moderate,,strong_winds,NNW,,yes,9
2017-10-30,,moderate,,,,,,9
2017-10-29,,,,strong_winds,NNW,,,9
2017-10-28,,,,strong_winds,N,,,9
2017-10-27,,low,,,,,,9
2017-10-26,,moderate,,windy_direction,S,,,9
2017-10-25,,moderate,,strong_winds,NW,,,9
2017-10-24,,,,strong_winds,NW,,,10
2017-10-23,,,,strong_winds,WNW,,,10
2017-10-22,,,,strong_winds,NNW,,,10
2017-10-21,,moderate,,,,,,10
2017-10-20,,,,windy_direction,NNW,,,10
2017-10-19,,,,,,,,10
2017-10-18,,,,strong_winds,WNW,,,10
2017-10-17,,,,strong_winds,NW,,yes,10
2017-10-16,,,,,,,,10
2017-10-15,,,,windy_direction,SSW,,,10
2017-10-14,,moderate,,,,,,10
2017-10-13,,moderate,,,,,,10
2017-10-12,,moderate,,,,,,10
2017-10-11,,moderate,,windy_direction,NW,,,10
2017-10-10,,,,windy_direction,ENE,,yes,10
2017-10-09,,moderate,,strong_winds,W,,,11
2017-10-08,,moderate,,strong_winds,NW,,yes,11
2017-10-07,,,,strong_winds,NW,,,11
2017-10-06,,,,strong_winds,NW,,,11
2017-10-05,,,,,,,,11
2017-10-04,,low,,,,,,11
2017-10-03,,moderate,,,,,,11
2017-10-02,,moderate,,strong_winds,NNW,,yes,11
2017-10-01,,,,strong_winds,NNW,,yes,11
2017-09-30,,,,windy_direction,N,,,11
2017-09-29,,,,strong_winds,SSE,,,11
2017-09-28,,,,strong_winds,SSE,,,11
2017-09-27,,,,windy_direction,WNW,,,11
2017-09-26,,,,windy_direction,WNW,,,11
2017-09-25,,,,windy,WSW,,,12
2017-09-24,,,,,,,,12
