date,avg_hourly_temperature,min_windchill,avg_relative_humidity,avg_dew_point,avg_wind_speed,max_wind_gust,wind_gust_dir_10s,avg_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_10,precipitation,sunlight
2017-11-16,-11.36,-22.0,83.8,-13.6,9.38,,,2.5,30.0,0.0,0.0,0.0,0.2,8.57
2017-11-15,-9.79,-19.0,86.9,-11.5,17.67,41.0,14.0,2.4,28.2,0.0,0.0,0.0,0.0,8.62
2017-11-14,-9.16,-18.0,88.9,-10.7,10.58,28.0,2.0,2.4,27.2,0.0,0.0,0.0,2.5,8.68
2017-11-13,-7.86,-16.0,95.3,-8.5,9.04,29.0,8.0,3.3,25.9,0.0,0.0,0.0,0.8,8.73
2017-11-12,-7.03,-15.0,92.8,-8.0,10.88,,,3.6,24.6,0.0,0.0,0.0,0.0,8.8
2017-11-11,-5.54,-15.0,83.9,-7.9,6.5,,,4.1,22.6,0.0,0.0,0.0,0.0,8.85
2017-11-10,-7.69,-14.0,83.2,-10.1,6.38,,,3.4,26.4,0.0,0.0,0.0,0.0,8.9
2017-11-09,-10.16,-21.0,81.4,-12.8,14.67,43.0,17.0,3.3,29.2,0.0,0.0,0.0,0.0,8.97
2017-11-08,-10.86,-18.0,87.0,-12.7,4.25,,,3.5,28.6,0.0,0.0,0.0,0.4,9.03
2017-11-07,-7.85,-14.0,78.3,-11.0,8.42,,,2.8,26.9,0.0,0.0,0.0,0.4,9.08
2017-11-06,-8.93,-18.0,73.3,-13.0,10.88,32.0,19.0,2.8,27.9,0.0,0.0,0.0,0.2,9.15
2017-11-05,-10.03,-20.0,79.0,-13.1,10.36,,,2.5,28.6,0.0,0.0,0.0,0.0,9.22
2017-11-04,-13.71,-20.0,83.5,-16.0,4.62,,,3.2,31.1,0.0,0.0,0.0,0.2,9.28
2017-11-03,-12.77,-21.0,85.3,-14.7,10.75,,,2.6,30.2,0.0,0.0,0.0,0.4,9.35
