date,max_temperature,avg_temperature,avg_hourly_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_visibility,min_visibility,max_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2017-11-16,-9.7,-12,-11.36,-14.3,,-22,90,83.8,78,-12,-13.6,-15.7,16,9.38,5,,,100.6,100.47,100.3,92.39,92.28,92.15,,,,2.9,2.5,2.3,30,0,0,0,0.2,,,10,08:02:00,16:36:00,8.57,8.03,16.6,,,-9,-9,-15,-15,,,,,,,,,,
2017-11-15,-8.3,-10.19,-9.79,-12.1,,-19,91,86.9,81,-10.1,-11.5,-13.5,26,17.67,8,41,14,102.5,101.45,100.5,94.13,93.2,92.35,,,,2.6,2.4,2.1,28.2,0,0,0,0,,,10,08:00:00,16:37:00,8.62,8,16.62,,,-9,-7,-11,-10,,,,,,,,,,
2017-11-14,-5.6,-9.25,-9.16,-12.9,,-18,96,88.9,81,-6.2,-10.7,-13.3,19,10.58,2,28,2,102.6,102.05,101,94.21,93.79,92.86,,,,3.2,2.4,1.9,27.2,0,0,0,2.5,,,10,07:58:00,16:39:00,8.68,7.97,16.65,,,-10,-7,-15,-11,,,,,,,,,,
2017-11-13,-6.2,-7.85,-7.86,-9.5,,-16,97,95.3,93,-6.3,-8.5,-10.3,18,9.04,1,29,8,101.3,101.03,100.6,93.16,92.85,92.47,,,,3.8,3.3,2.9,25.9,0,0,0,0.8,,,7,07:56:00,16:40:00,8.73,7.93,16.67,,,-4,-4,-10,-9,,,,,,,,,,
2017-11-12,-4.3,-6.6,-7.03,-8.9,,-15,98,92.8,88,-6.1,-8,-9.6,18,10.88,3,,,102.3,101.9,101.3,94.02,93.69,93.12,,,,3.9,3.6,3.2,24.6,0,0,0,0,,,7,07:54:00,16:42:00,8.8,7.9,16.7,,,-4,-4,-9,-6,,,,,,,,,,
2017-11-11,1.9,-4.59,-5.54,-11.1,,-15,93,83.9,59,-5,-7.9,-11.5,11,6.5,1,,,102.2,101.96,101.6,94.02,93.72,93.33,,,,4.8,4.1,3.5,22.6,0,0,0,0,,,5,07:53:00,16:44:00,8.85,7.88,16.73,,,-2,-1,-11,-8,,,,,,,,,,
2017-11-10,-5.9,-8.4,-7.69,-10.9,,-14,94,83.2,72,-8.9,-10.1,-11.6,12,6.38,2,,,101.5,101.21,100.8,93.32,93.02,92.67,,,,4.5,3.4,2.7,26.4,0,0,0,0,,,8,07:51:00,16:45:00,8.9,7.85,16.75,,,-5,-5,-11,-11,,,,,,,,,,
2017-11-09,-6,-11.2,-10.16,-16.4,,-21,93,81.4,69,-9.6,-12.8,-17.5,27,14.67,1,43,17,102.7,101.68,100.9,94.29,93.39,92.69,,,,3.9,3.3,2.7,29.2,0,0,0,0,,,8,07:49:00,16:47:00,8.97,7.82,16.78,,,-7,-7,-10,-8,,,,,,,,,,
2017-11-08,-6.3,-10.65,-10.86,-15,,-18,95,87,63,-11.2,-12.7,-16.1,9,4.25,1,,,103,102.93,102.7,94.63,94.54,94.35,,,,4.6,3.5,2.3,28.6,0,0,0,0.4,,,7,07:47:00,16:49:00,9.03,7.78,16.82,,,-8,-8,-16,-15,,,,,,,,,,
2017-11-07,-5.3,-8.85,-7.85,-12.4,,-14,88,78.3,67,-10.2,-11,-11.8,14,8.42,4,,,103,102.86,102.5,94.64,94.53,94.22,,,,3.6,2.8,2.2,26.9,0,0,0,0.4,,,7,07:45:00,16:50:00,9.08,7.75,16.83,,,-5,-5,-14,-12,,,,,,,,,,
